requests_1m,requests_5m,unique_paths_5m,post_ratio_5m,auth_endpoint_requests_5m,failed_logins_5m,failed_logins_15m,unique_usernames_15m,successful_logins_15m,qr_failures_15m,sensitive_path_probes_15m,suspicious_requests_15m,scanner_events_15m,csrf_failures_15m,method_anomalies_15m,auth_rejections_15m,ban_events_15m,avg_request_interval_5m,ua_changes_15m,off_hours,label
2,11,6,0.719896,21,1,2,3,1,6,0,0,0,0,0,2,0,9.49855,0,0,MFA_ABUSE
13,37,13,0.786161,9,0,2,2,0,0,2,12,1,1,0,2,0,14.6422,3,0,WEB_ATTACK
8,18,4,0.889709,21,0,1,2,1,13,0,0,0,1,0,5,0,2.06703,1,1,MFA_ABUSE
10,36,3,0.995383,18,17,21,2,0,0,0,0,0,0,0,12,0,6.82081,0,1,BRUTE_FORCE
21,62,1,0.905746,24,19,39,1,0,0,0,0,0,0,0,13,1,1.05649,0,1,BRUTE_FORCE
2,10,14,0.445662,3,1,0,2,0,0,1,6,0,0,2,7,1,14.5783,0,0,WEB_ATTACK
9,25,3,0.9525,23,7,13,2,0,0,0,0,1,0,0,5,1,4.0777,0,1,BRUTE_FORCE
10,39,2,0.784027,26,10,25,2,0,0,0,0,0,0,0,10,1,8.73921,0,0,BRUTE_FORCE
10,70,3,0.74285,32,18,15,3,0,0,0,1,0,0,0,10,0,0.447935,0,0,BRUTE_FORCE
3,34,3,0.511675,7,0,2,2,3,7,0,0,0,0,0,4,0,7.80012,0,0,MFA_ABUSE
16,31,3,0.72633,26,18,36,2,0,0,0,1,0,0,0,12,1,2.09742,0,0,BRUTE_FORCE
12,49,2,0.988241,20,9,21,2,0,0,1,0,0,0,0,5,0,3.84834,0,1,BRUTE_FORCE
4,13,5,0.13216,0,0,0,1,0,0,0,0,0,0,0,0,0,28.6123,0,0,NORMAL
3,21,14,0.552926,9,0,1,3,0,0,4,8,2,1,2,7,0,13.0021,1,0,WEB_ATTACK
19,60,3,0.707247,47,17,42,3,0,0,0,0,0,0,0,6,0,1.9868,1,1,BRUTE_FORCE
7,19,15,0.34221,2,0,1,1,0,0,0,7,0,0,0,1,0,5.45819,0,0,WEB_ATTACK
6,9,4,0.127917,1,0,1,1,0,0,0,0,0,0,0,0,0,58.1731,0,0,NORMAL
11,47,4,0.944833,27,12,35,3,0,0,0,1,0,0,0,10,1,2.32649,0,1,BRUTE_FORCE
14,25,4,0.786165,47,13,12,1,0,0,0,0,0,0,1,14,1,7.88343,0,1,BRUTE_FORCE
9,59,6,0.197211,3,2,1,2,1,0,0,1,0,6,2,5,0,11.1149,7,0,SESSION_ABUSE
8,40,10,0.660209,6,0,2,2,0,0,4,10,0,0,1,8,0,14.939,2,0,WEB_ATTACK
7,44,6,0.735502,9,2,0,3,0,0,2,12,0,0,0,2,0,13.895,3,1,WEB_ATTACK
11,32,2,0.840214,19,0,1,1,1,17,0,1,0,0,0,3,0,8.59273,0,0,MFA_ABUSE
8,27,7,0.203434,1,0,0,1,0,0,0,1,0,5,4,14,1,11.4075,5,1,SESSION_ABUSE
6,54,37,0.0233303,3,0,1,1,0,0,12,4,1,0,0,1,0,1.28335,0,1,RECONNAISSANCE
5,33,31,0.0131163,1,0,1,1,0,0,15,5,0,0,0,0,0,2.61014,0,0,RECONNAISSANCE
3,75,56,0.0773491,2,0,1,1,0,0,5,1,2,0,0,0,0,5.1862,3,0,RECONNAISSANCE
5,19,4,0.724041,11,0,0,1,1,14,0,0,0,0,0,4,0,3.21407,0,1,MFA_ABUSE
10,33,3,0.815311,31,6,34,27,0,0,0,0,0,0,0,10,1,3.68317,0,1,CREDENTIAL_STUFFING
4,10,4,0.0775789,2,0,0,1,1,0,0,0,0,0,0,0,0,71.843,0,0,NORMAL
4,62,38,0.0177855,0,0,1,2,0,0,11,5,2,0,0,1,0,7.4348,1,1,RECONNAISSANCE
13,36,7,0.151325,2,0,0,2,0,1,1,7,1,2,1,12,0,8.74232,7,1,SESSION_ABUSE
4,6,3,0.18732,1,0,1,1,0,0,0,0,0,0,0,0,0,65.7402,0,0,NORMAL
8,27,6,0.837383,8,2,2,1,1,11,0,0,0,0,0,4,1,10.1645,0,0,MFA_ABUSE
18,57,25,0.400241,5,0,0,3,1,0,1,2,0,7,1,7,0,11.0945,2,0,SESSION_ABUSE
2,9,3,0.0370576,1,0,0,1,1,0,0,0,0,0,0,0,0,63.7333,0,0,NORMAL
2,9,6,0.0476806,0,1,0,1,0,0,0,0,0,0,0,0,0,65.3787,0,0,NORMAL
7,23,1,0.781833,30,12,49,2,0,0,0,0,0,0,0,14,1,8.36264,0,0,BRUTE_FORCE
8,37,3,0.539814,3,0,1,1,1,0,2,7,1,1,1,5,0,2.6785,3,0,WEB_ATTACK
4,16,2,0.755086,13,0,3,3,3,10,0,0,0,0,0,8,0,9.81429,0,0,MFA_ABUSE
10,35,16,0.0977708,2,1,1,1,0,0,15,5,3,0,1,1,0,1.7178,3,1,RECONNAISSANCE
6,61,5,0.921865,12,4,28,20,2,0,0,0,0,0,0,10,0,12.8562,1,0,CREDENTIAL_STUFFING
1,9,7,0.205387,0,0,0,1,1,0,0,0,0,0,0,0,0,59.2252,0,0,NORMAL
9,15,12,0.361918,4,1,3,4,0,0,4,7,0,1,0,4,0,10.016,3,1,WEB_ATTACK
15,25,1,0.804456,12,15,46,2,0,1,0,0,0,1,0,5,2,8.09756,1,1,BRUTE_FORCE
18,28,2,0.736599,11,8,15,22,0,0,0,0,0,1,0,13,1,4.5652,4,0,CREDENTIAL_STUFFING
12,21,4,0.766431,50,11,32,2,0,0,0,0,0,0,0,14,0,2.25319,0,0,BRUTE_FORCE
13,39,6,0.883896,12,6,15,23,1,0,0,0,0,0,0,3,0,8.79097,4,1,CREDENTIAL_STUFFING
8,25,3,0.446604,5,0,0,2,0,0,3,15,0,1,1,2,0,3.3095,1,1,WEB_ATTACK
11,36,7,0.786846,11,1,2,1,3,12,0,0,0,0,0,3,0,10.9062,0,0,MFA_ABUSE
1,6,2,0.111094,1,0,0,1,0,0,0,0,0,0,0,0,0,47.338,0,0,NORMAL
1,1,1,0.291816,0,0,1,1,1,0,0,0,0,0,0,0,0,69.3207,0,0,NORMAL
3,11,4,0.0947216,0,0,0,1,1,0,0,0,0,0,0,0,0,24.8982,0,0,NORMAL
11,20,7,0.205104,3,0,0,1,0,0,1,6,0,7,0,14,0,8.63962,7,0,SESSION_ABUSE
3,11,7,0.353449,1,0,0,1,1,0,0,0,0,0,0,0,0,59.1699,0,0,NORMAL
17,63,19,0.549167,6,0,2,3,1,0,1,2,1,7,4,9,0,1.38153,3,1,SESSION_ABUSE
4,63,17,0.474351,3,0,2,3,0,0,0,4,2,7,0,7,0,2.58573,4,1,SESSION_ABUSE
8,41,6,0.758797,15,12,9,18,0,0,0,0,0,0,0,15,0,11.4334,2,0,CREDENTIAL_STUFFING
2,9,9,0.116302,3,0,0,1,1,1,0,0,0,1,0,0,0,44.6072,0,0,NORMAL
14,36,8,0.528376,1,0,0,1,0,0,0,4,0,8,2,10,0,4.15598,7,0,SESSION_ABUSE
0,7,3,0.185525,1,1,0,1,2,0,0,0,0,0,0,0,0,54.3698,0,1,NORMAL
4,51,26,0.146255,3,0,1,1,0,0,11,8,1,0,1,0,1,3.57265,1,0,RECONNAISSANCE
12,35,17,0.381921,2,0,1,3,1,0,0,5,0,6,4,14,0,2.24698,7,1,SESSION_ABUSE
6,37,6,0.518532,9,0,3,2,0,1,0,10,2,0,0,3,1,7.21596,2,0,WEB_ATTACK
10,9,9,0.7302,8,0,3,2,1,0,4,6,1,0,1,4,0,10.8726,1,0,WEB_ATTACK
15,62,3,0.989555,41,9,24,1,0,0,0,0,0,1,0,16,0,3.65277,0,0,BRUTE_FORCE
7,54,4,0.701497,19,11,9,27,0,1,0,1,0,0,0,9,0,8.81486,3,1,CREDENTIAL_STUFFING
17,52,3,0.721968,24,12,30,12,0,1,0,0,0,1,0,3,0,9.18577,0,0,CREDENTIAL_STUFFING
17,22,30,0.224674,5,0,2,1,0,0,4,6,3,0,1,0,0,6.14048,0,1,RECONNAISSANCE
9,28,12,0.329902,7,0,0,3,0,0,3,7,0,0,1,1,1,13.1389,0,0,WEB_ATTACK
3,13,5,0.361426,0,0,1,1,0,0,0,0,0,0,0,0,0,70.5112,0,0,NORMAL
7,43,39,0.106102,5,0,0,1,0,0,15,2,3,0,0,1,0,4.29849,2,0,RECONNAISSANCE
1,5,4,0.106702,0,0,0,1,0,0,0,0,0,0,0,0,0,54.8197,1,0,NORMAL
10,14,3,0.69002,23,0,3,2,2,8,0,0,0,0,0,2,0,11.4974,0,0,MFA_ABUSE
10,58,4,0.574844,34,11,23,15,0,0,0,0,0,0,0,14,0,12.4438,3,0,CREDENTIAL_STUFFING
3,27,19,0.193682,4,0,0,1,0,0,13,6,2,0,1,0,0,3.77559,2,0,RECONNAISSANCE
2,37,3,0.541997,14,1,3,1,3,10,0,0,0,0,0,10,0,10.5999,0,1,MFA_ABUSE
16,29,4,0.557269,24,9,10,18,1,1,1,0,0,1,0,7,0,6.9764,2,0,CREDENTIAL_STUFFING
11,52,6,0.77308,15,9,22,23,0,0,0,0,0,0,0,14,0,10.183,4,0,CREDENTIAL_STUFFING
2,10,2,0.357884,1,0,1,1,1,0,0,0,0,0,0,0,0,42.9695,0,0,NORMAL
13,28,15,0.473893,8,0,2,1,0,1,3,10,0,0,0,4,0,5.18444,0,0,WEB_ATTACK
8,40,5,0.805176,30,11,30,27,1,0,0,0,0,0,0,13,0,7.89842,1,1,CREDENTIAL_STUFFING
18,69,13,0.385719,5,1,0,1,1,0,1,7,1,3,0,4,0,4.74939,3,0,SESSION_ABUSE
2,9,3,0.251366,1,0,0,1,1,0,0,0,0,0,0,0,0,12.1279,0,0,NORMAL
5,29,2,0.512167,20,0,1,3,2,12,0,0,0,0,0,11,0,15.5918,0,1,MFA_ABUSE
7,24,7,0.570664,20,0,3,1,3,13,0,0,0,0,0,7,0,5.89563,0,0,MFA_ABUSE
12,54,3,0.802901,20,14,15,17,1,0,0,0,0,0,0,8,0,4.10076,3,0,CREDENTIAL_STUFFING
11,70,50,0.212474,1,0,1,1,0,0,4,6,2,0,0,1,0,8.01167,0,0,RECONNAISSANCE
3,19,17,0.255629,7,0,1,1,0,0,4,4,1,1,1,8,1,13.8132,0,0,WEB_ATTACK
9,10,5,0.850363,24,1,1,3,1,7,0,0,0,0,0,5,1,16.5627,0,1,MFA_ABUSE
14,51,12,0.252954,5,1,1,2,0,1,0,2,0,7,2,6,0,7.40063,4,0,SESSION_ABUSE
10,23,3,0.857106,17,9,18,2,1,1,0,0,0,0,0,8,0,3.10809,1,1,BRUTE_FORCE
13,62,3,0.655654,38,11,18,24,0,1,0,1,0,0,0,15,0,5.59141,1,0,CREDENTIAL_STUFFING
3,24,4,0.572645,22,1,3,2,3,17,0,0,0,0,0,6,0,17.7725,0,1,MFA_ABUSE
9,25,5,0.664546,13,0,1,3,2,5,0,1,0,0,0,4,1,16.7851,0,0,MFA_ABUSE
17,51,25,0.322179,0,1,0,3,0,0,1,3,0,8,0,5,0,4.35431,6,0,SESSION_ABUSE
13,61,38,0.0220443,5,1,0,1,0,0,13,3,2,1,0,0,0,1.51266,1,1,RECONNAISSANCE
3,9,3,0.0288154,1,0,0,1,0,0,0,0,0,0,0,0,0,34.7344,0,1,NORMAL
20,57,4,0.871043,34,8,27,1,0,0,0,0,0,1,0,15,2,5.43602,0,1,BRUTE_FORCE
3,35,4,0.839195,16,0,3,1,1,13,0,1,0,0,0,2,0,17.8329,0,0,MFA_ABUSE
10,68,3,0.941381,48,10,49,3,0,0,0,0,0,1,0,16,1,7.90686,0,0,BRUTE_FORCE
8,73,27,0.140018,1,0,0,1,0,0,15,8,2,0,0,1,0,2.90895,0,0,RECONNAISSANCE
6,26,15,0.79698,7,0,2,1,0,0,1,11,0,0,0,3,1,3.0895,1,1,WEB_ATTACK
7,73,43,0.217636,0,0,1,1,0,0,15,2,2,0,0,0,0,3.09728,3,0,RECONNAISSANCE
1,4,3,0.30882,2,0,0,1,1,0,0,0,0,1,0,0,0,36.7909,0,0,NORMAL
7,25,6,0.625982,24,0,0,2,2,6,0,0,0,0,0,11,1,11.7786,0,0,MFA_ABUSE
5,29,19,0.0816199,1,0,0,1,0,0,8,6,1,0,1,1,0,2.4632,0,0,RECONNAISSANCE
21,60,2,0.725086,30,18,37,2,0,0,0,0,0,0,0,5,0,5.94367,0,0,BRUTE_FORCE
4,19,7,0.512237,5,0,1,1,0,0,2,14,0,0,0,7,1,2.07436,3,1,WEB_ATTACK
18,44,3,0.9367,14,10,38,1,0,0,0,0,1,0,0,9,1,8.68396,0,0,BRUTE_FORCE
3,10,5,0.111725,0,1,1,1,0,0,0,0,0,0,0,0,0,16.2656,0,0,NORMAL
10,21,4,0.661157,16,11,21,17,0,0,0,0,0,0,0,6,0,8.37014,0,0,CREDENTIAL_STUFFING
8,22,7,0.795459,4,0,2,2,0,0,4,5,0,0,0,7,0,12.714,1,1,WEB_ATTACK
0,6,1,0.172561,2,0,0,1,2,0,0,0,0,0,0,0,0,22.541,0,0,NORMAL
10,30,5,0.510816,16,0,1,2,2,13,0,0,0,0,0,6,0,17.365,0,1,MFA_ABUSE
1,6,5,0.259302,0,0,0,1,1,0,0,0,0,0,0,0,0,29.3324,0,0,NORMAL
4,25,14,0.277336,5,0,0,1,0,0,2,4,0,8,2,7,0,4.1265,5,0,SESSION_ABUSE
4,15,6,0.499622,24,1,2,1,2,12,0,0,0,0,0,9,0,4.52925,0,0,MFA_ABUSE
6,32,46,0.237117,1,1,2,1,0,0,5,3,2,0,1,2,0,1.73655,2,1,RECONNAISSANCE
7,27,8,0.269827,9,0,0,1,0,1,3,15,2,0,0,3,0,1.27114,2,0,WEB_ATTACK
6,32,5,0.670171,12,0,2,2,3,11,0,0,0,0,0,2,0,3.44889,0,1,MFA_ABUSE
10,29,1,0.861058,41,8,29,2,0,0,1,0,0,0,0,16,0,9.81779,0,0,BRUTE_FORCE
7,59,53,0.123429,4,0,0,1,0,0,16,2,2,0,2,2,0,5.03605,0,0,RECONNAISSANCE
14,44,3,0.81073,44,9,49,3,1,0,0,0,0,0,0,13,0,3.03635,0,1,BRUTE_FORCE
19,50,22,0.53266,0,1,1,1,1,0,0,4,1,4,4,4,0,10.1025,7,1,SESSION_ABUSE
2,6,6,0.167167,1,0,0,1,0,0,0,0,0,0,0,1,0,25.2177,0,1,NORMAL
10,27,17,0.783318,8,1,1,3,1,0,2,13,0,1,0,7,0,2.36904,2,1,WEB_ATTACK
10,30,5,0.778582,22,0,1,1,1,15,0,0,0,0,0,8,0,2.18138,1,1,MFA_ABUSE
8,30,10,0.48939,6,2,2,3,0,0,4,12,1,1,1,7,0,3.68112,1,1,WEB_ATTACK
7,21,3,0.778696,24,21,44,1,0,0,0,2,0,0,0,17,2,8.2562,1,0,BRUTE_FORCE
7,26,7,0.406877,0,0,1,1,0,0,2,8,1,3,0,6,1,6.92708,0,0,WEB_ATTACK
3,8,5,0.158452,1,0,0,1,1,0,0,0,0,0,0,1,0,28.1022,0,0,NORMAL
5,47,53,0.0665788,5,0,0,1,0,0,6,6,1,0,1,1,0,1.36321,0,1,RECONNAISSANCE
4,33,6,0.70643,0,1,2,4,0,0,2,7,0,0,1,7,0,9.43764,2,0,WEB_ATTACK
7,20,21,0.183176,4,0,0,2,0,0,14,2,3,0,2,1,0,4.50816,1,1,RECONNAISSANCE
6,17,4,0.594394,6,2,1,1,2,5,0,0,0,0,0,9,0,6.45051,0,0,MFA_ABUSE
7,21,2,0.961377,38,16,22,3,0,0,0,0,0,1,0,7,1,0.985021,0,0,BRUTE_FORCE
10,22,2,0.743758,11,0,2,2,2,11,0,1,0,0,0,3,0,4.78812,1,1,MFA_ABUSE
15,45,2,0.736998,39,12,13,8,0,0,0,1,0,0,0,5,0,4.65349,2,0,CREDENTIAL_STUFFING
9,29,5,0.68743,37,10,27,11,0,1,0,0,0,0,0,4,0,8.5401,2,0,CREDENTIAL_STUFFING
8,14,7,0.861155,19,0,2,1,2,12,0,0,0,0,0,6,0,12.3958,0,1,MFA_ABUSE
19,45,25,0.322961,5,0,0,2,0,0,0,3,0,5,2,13,0,5.58775,3,0,SESSION_ABUSE
4,54,30,0.0182348,4,0,0,1,0,0,16,1,2,0,1,0,0,2.51725,1,1,RECONNAISSANCE
4,65,43,0.2019,0,0,0,1,0,0,13,3,2,0,0,1,0,3.99117,1,1,RECONNAISSANCE
10,33,11,0.615125,0,1,3,2,1,0,3,10,1,1,1,6,0,14.2721,1,0,WEB_ATTACK
7,23,5,0.812792,36,13,17,21,1,0,0,0,0,0,0,12,0,10.9526,4,1,CREDENTIAL_STUFFING
2,13,2,0.264116,1,1,0,1,2,0,0,0,0,0,0,0,0,34.1683,0,0,NORMAL
9,74,4,0.715094,23,7,38,1,0,0,0,0,0,0,0,17,0,4.46876,0,1,BRUTE_FORCE
3,45,23,0.119817,2,1,0,1,0,0,9,1,2,0,1,1,0,8.02182,2,1,RECONNAISSANCE
7,16,9,0.516249,5,1,1,4,0,0,0,5,0,0,0,1,0,11.452,3,1,WEB_ATTACK
13,33,15,0.340559,0,0,0,3,1,0,2,4,1,7,3,13,0,11.9075,5,1,SESSION_ABUSE
7,51,1,0.781474,19,16,49,3,0,0,0,0,0,0,0,12,0,2.89756,0,0,BRUTE_FORCE
14,63,19,0.410269,5,0,0,1,0,0,1,1,0,5,0,11,0,8.40742,3,1,SESSION_ABUSE
18,33,5,0.576471,13,13,9,15,0,0,0,0,0,1,0,8,0,11.4422,3,0,CREDENTIAL_STUFFING
7,32,16,0.269965,4,0,0,3,1,0,0,3,0,6,2,12,0,5.1789,6,0,SESSION_ABUSE
3,26,34,0.138141,1,0,1,1,0,0,17,4,3,0,0,1,0,8.27992,2,1,RECONNAISSANCE
0,12,1,0.208869,1,0,1,1,1,0,0,0,0,0,0,0,0,50.3521,0,0,NORMAL
1,6,4,0.349627,0,0,0,1,1,0,0,0,0,0,0,0,0,15.1594,0,1,NORMAL
9,18,17,0.62963,5,0,1,2,0,1,3,9,1,1,0,2,0,13.0535,2,1,WEB_ATTACK
15,46,38,0.194108,3,0,0,1,0,0,13,7,2,0,0,1,1,2.00784,3,0,RECONNAISSANCE
18,36,10,0.283074,3,0,0,2,2,0,1,6,0,8,4,9,0,1.20561,6,0,SESSION_ABUSE
8,46,2,0.772371,21,13,25,10,2,0,0,0,0,1,1,6,0,4.48696,4,0,CREDENTIAL_STUFFING
5,31,12,0.747552,1,0,2,4,0,0,4,10,2,1,0,1,0,1.11708,0,0,WEB_ATTACK
2,9,3,0.215743,2,0,0,1,1,0,0,0,0,0,0,0,0,29.7344,0,0,NORMAL
8,43,3,0.600994,32,14,34,8,0,0,1,0,0,1,0,15,0,7.72212,2,1,CREDENTIAL_STUFFING
10,50,44,0.043957,2,1,0,1,0,0,5,1,2,0,1,2,0,7.98963,1,1,RECONNAISSANCE
9,29,6,0.864577,6,2,0,3,1,12,0,0,0,0,0,3,0,3.30554,0,1,MFA_ABUSE
2,10,5,0.342453,0,0,0,1,1,0,0,0,0,0,0,1,0,23.8193,0,1,NORMAL
11,67,2,0.820012,41,10,24,3,0,1,0,0,0,0,0,16,1,7.73775,1,1,BRUTE_FORCE
16,27,39,0.145089,3,0,0,1,0,0,6,6,2,0,0,1,0,7.57808,2,0,RECONNAISSANCE
9,23,17,0.455658,8,3,1,2,0,0,2,8,2,1,0,8,0,1.96499,1,1,WEB_ATTACK
4,7,3,0.432018,0,0,0,1,0,0,0,0,0,0,0,0,0,59.425,0,0,NORMAL
18,28,8,0.235014,6,0,0,3,0,0,0,1,0,2,0,4,0,6.02772,5,0,SESSION_ABUSE
16,74,3,0.914074,17,8,50,2,0,0,0,0,0,1,0,4,0,3.47884,0,0,BRUTE_FORCE
9,46,27,0.159367,2,1,0,2,0,0,0,1,0,7,3,6,0,11.2611,5,0,SESSION_ABUSE
10,19,5,0.942794,25,9,29,10,0,1,0,0,0,0,0,8,0,7.38958,2,0,CREDENTIAL_STUFFING
9,19,2,0.721052,6,0,0,2,2,14,0,0,0,0,0,4,0,6.61692,0,0,MFA_ABUSE
9,31,8,0.53653,6,1,2,2,1,0,1,11,0,2,1,2,0,13.1684,2,0,WEB_ATTACK
6,32,4,0.541568,9,3,1,3,2,17,0,0,0,0,0,7,0,5.62693,0,0,MFA_ABUSE
6,8,4,0.625007,19,0,1,1,3,11,0,0,0,0,0,7,0,9.47103,0,0,MFA_ABUSE
10,62,3,0.869283,33,4,25,27,0,0,0,0,0,0,0,13,1,2.56563,4,0,CREDENTIAL_STUFFING
12,54,15,0.418554,4,0,1,2,0,0,0,3,1,5,1,4,0,7.91031,5,1,SESSION_ABUSE
6,8,2,0.836895,24,1,2,3,1,15,0,0,0,0,0,3,0,15.3778,0,0,MFA_ABUSE
15,57,3,0.573285,36,8,27,16,0,0,1,0,0,1,0,5,0,5.09722,2,0,CREDENTIAL_STUFFING
9,14,7,0.733597,8,1,0,3,3,9,0,0,0,0,0,2,0,9.0461,0,0,MFA_ABUSE
6,27,37,0.167036,2,0,0,1,0,0,12,9,0,0,0,2,0,1.19926,0,0,RECONNAISSANCE
6,10,7,0.545113,0,0,1,1,1,0,0,12,2,1,1,1,0,10.0604,1,0,WEB_ATTACK
2,37,2,0.491143,13,0,1,1,2,16,0,0,0,0,0,2,0,7.72014,0,0,MFA_ABUSE
11,34,7,0.527974,10,1,1,2,3,6,0,0,0,1,0,4,0,5.38478,0,0,MFA_ABUSE
2,44,5,0.553532,5,1,0,4,0,0,1,8,1,1,0,2,1,3.74638,3,0,WEB_ATTACK
9,19,5,0.830037,20,0,2,3,1,9,0,0,0,0,0,9,0,12.0503,1,1,MFA_ABUSE
11,46,3,0.812679,25,7,20,10,0,1,0,0,0,0,0,14,0,4.74841,0,0,CREDENTIAL_STUFFING
0,8,1,0.069929,3,0,1,1,0,1,0,0,0,0,0,0,0,63.7345,0,0,NORMAL
12,36,7,0.263177,6,0,0,1,1,0,1,1,0,5,3,11,0,3.73761,5,1,SESSION_ABUSE
8,24,5,0.564838,32,12,28,21,0,0,0,0,0,1,0,10,0,7.45407,1,1,CREDENTIAL_STUFFING
1,12,3,0.226467,1,0,0,1,2,0,0,0,0,0,0,0,0,12.3996,0,0,NORMAL
4,19,6,0.569499,15,3,1,3,2,14,0,0,0,0,0,7,0,12.2539,0,0,MFA_ABUSE
11,15,3,0.504713,13,0,0,1,2,11,0,1,0,0,0,4,0,6.0117,0,0,MFA_ABUSE
10,34,44,0.202063,0,1,3,1,0,0,8,5,3,0,2,1,0,1.97682,0,0,RECONNAISSANCE
6,40,6,0.231671,7,0,0,1,0,0,2,2,1,4,1,7,0,2.24688,4,1,SESSION_ABUSE
13,17,14,0.318742,1,2,1,4,0,1,3,12,0,0,0,8,0,12.6571,1,1,WEB_ATTACK
7,31,3,0.976137,32,9,35,2,0,0,0,0,0,0,0,6,0,1.05594,0,0,BRUTE_FORCE
11,38,16,0.0570733,3,0,0,2,0,0,7,6,1,0,2,1,0,3.53624,2,1,RECONNAISSANCE
2,9,6,0.371131,3,0,1,1,0,0,0,0,0,0,0,0,0,37.3664,0,0,NORMAL
2,17,4,0.322988,3,0,0,1,1,0,0,0,0,0,0,0,0,44.312,0,0,NORMAL
16,41,15,0.432243,2,0,0,1,0,0,1,1,0,3,0,10,0,1.87033,2,0,SESSION_ABUSE
3,15,6,0.369496,1,1,0,1,2,0,0,0,0,0,0,0,0,59.8359,0,1,NORMAL
8,13,7,0.705779,23,1,3,2,3,16,0,0,0,0,0,6,0,13.3437,0,0,MFA_ABUSE
2,7,3,0.0987192,0,0,0,1,0,0,0,0,0,0,0,0,0,35.3334,0,1,NORMAL
6,38,17,0.25662,1,0,0,1,1,0,0,5,0,4,4,8,0,8.49458,6,0,SESSION_ABUSE
6,18,5,0.888656,7,0,2,3,2,17,0,0,0,0,0,3,0,14.2467,0,0,MFA_ABUSE
10,33,4,0.946305,37,14,54,3,0,1,0,0,0,0,0,11,1,3.88556,0,0,BRUTE_FORCE
11,52,8,0.367466,5,1,0,1,0,0,1,6,0,3,4,13,0,6.71703,6,0,SESSION_ABUSE
3,31,17,0.389903,8,1,1,1,1,0,4,4,0,1,0,1,0,2.38809,2,0,WEB_ATTACK
12,28,17,0.340014,4,1,1,2,0,0,0,6,1,0,0,2,0,9.69747,1,0,WEB_ATTACK
13,36,5,0.762116,19,6,36,10,0,1,0,1,0,0,0,9,0,2.68193,1,0,CREDENTIAL_STUFFING
18,15,26,0.391954,6,0,2,1,1,0,0,3,0,2,1,7,1,7.4051,2,1,SESSION_ABUSE
17,55,4,0.800774,33,14,29,10,0,0,0,1,0,0,0,9,0,4.30618,3,0,CREDENTIAL_STUFFING
14,30,7,0.318445,2,0,2,4,0,0,2,7,2,0,0,4,0,1.79811,0,0,WEB_ATTACK
3,9,7,0.203991,2,0,0,1,1,0,0,0,0,0,0,0,0,34.4759,0,0,NORMAL
2,8,6,0.56893,11,0,0,1,2,8,0,0,0,0,0,4,0,10.0582,0,1,MFA_ABUSE
9,28,9,0.58168,7,0,2,1,0,0,2,15,0,0,0,3,0,8.79749,3,1,WEB_ATTACK
9,38,2,0.839849,41,17,46,1,0,0,0,0,0,1,0,12,2,1.63949,1,1,BRUTE_FORCE
10,8,6,0.563993,18,0,2,2,2,11,0,0,0,0,0,6,0,2.82412,1,1,MFA_ABUSE
15,36,54,0.0725981,0,0,0,1,0,0,8,7,1,0,2,0,1,1.68672,1,1,RECONNAISSANCE
13,57,3,0.560564,27,14,17,25,0,0,1,0,0,0,0,7,0,6.13542,3,0,CREDENTIAL_STUFFING
19,42,3,0.724715,47,19,22,2,0,0,0,0,0,0,0,15,1,9.7457,0,0,BRUTE_FORCE
11,31,14,0.387764,3,0,2,1,1,0,1,8,0,0,0,5,0,11.0022,3,1,WEB_ATTACK
13,34,4,0.81692,33,20,13,3,0,0,0,0,0,1,0,9,0,5.03959,1,1,BRUTE_FORCE
12,17,7,0.293173,8,0,2,2,0,0,4,11,1,1,0,7,1,2.60497,2,0,WEB_ATTACK
0,11,1,0.497965,0,0,2,1,1,0,0,0,0,0,0,0,0,49.1368,0,0,NORMAL
2,24,5,0.65138,17,0,2,2,3,14,0,0,0,0,0,7,0,15.2746,0,0,MFA_ABUSE
12,39,7,0.205744,1,0,0,3,0,0,0,1,0,4,4,13,0,4.17271,2,1,SESSION_ABUSE
4,22,56,0.0838153,0,0,0,1,0,0,7,2,3,0,2,1,0,4.0489,3,0,RECONNAISSANCE
5,48,30,0.183353,4,0,0,1,0,0,7,7,2,0,1,0,0,6.95616,3,0,RECONNAISSANCE
4,21,47,0.249889,0,0,0,1,0,0,13,7,1,0,1,0,0,7.42131,0,1,RECONNAISSANCE
8,63,5,0.746632,31,13,25,22,0,0,0,0,0,0,0,12,0,5.65424,2,0,CREDENTIAL_STUFFING
9,29,7,0.403087,2,0,2,4,0,1,4,8,0,2,0,4,0,14.0148,0,0,WEB_ATTACK
11,31,2,0.938571,31,20,32,1,0,0,0,1,0,0,0,7,1,0.499003,0,0,BRUTE_FORCE
6,41,10,0.307117,4,0,0,1,1,0,0,7,0,8,1,13,0,6.66779,6,1,SESSION_ABUSE
13,57,21,0.0126657,1,0,2,1,0,0,8,5,0,0,0,0,0,5.38201,1,0,RECONNAISSANCE
1,7,1,0.29802,1,0,2,1,0,0,0,0,0,0,0,0,0,18.4034,0,0,NORMAL
3,10,2,0.0434812,1,0,0,1,1,0,0,0,0,0,0,0,0,34.0753,0,0,NORMAL
4,47,31,0.239274,1,0,0,1,0,0,12,2,3,0,0,0,0,7.42723,2,0,RECONNAISSANCE
7,10,11,0.516228,3,2,1,1,1,0,2,9,1,0,1,2,0,14.9691,0,1,WEB_ATTACK
